f1,f2,diff_phase,ventanas,persistencia,tipo,f_media
359.86,359.905,0.33,1,0.25,nodo_0°,359.8825
359.865,359.91,1.42,1,0.25,nodo_0°,359.8875
359.87,359.915,44.34,1,0.25,nodo_45°,359.89252
359.875,359.92,2.36,1,0.25,nodo_0°,359.89752
359.905,359.95,1.53,1,0.25,nodo_0°,359.9275
359.86,359.905,41.92,1,0.25,nodo_45°,359.8825
359.865,359.91,80.42,1,0.25,nodo_90°,359.8875
359.87,359.915,172.88,1,0.25,nodo_180°,359.89252
359.875,359.92,50.94,1,0.25,nodo_45°,359.89752
359.905,359.95,37.51,1,0.25,nodo_45°,359.9275
359.86,359.905,47.87,1,0.25,nodo_45°,359.8825
359.865,359.91,133.56,1,0.25,nodo_135°,359.8875
359.87,359.915,134.21,1,0.25,nodo_135°,359.89252
359.875,359.92,88.61,1,0.25,nodo_90°,359.89752
359.905,359.95,44.4,1,0.25,nodo_45°,359.9275
359.86,359.905,46.93,1,0.25,nodo_45°,359.8825
359.865,359.91,32.85,1,0.25,nodo_45°,359.8875
359.87,359.915,36.51,1,0.25,nodo_45°,359.89252
359.875,359.92,1.48,1,0.25,nodo_0°,359.89752
359.905,359.95,136.97,1,0.25,nodo_135°,359.9275
